"part","term","estimate_Model1","estimate_Model2","estimate_Model3","estimate_Model4","p.value_Model1","p.value_Model2","p.value_Model3","p.value_Model4"
"log","(Intercept)",-8.241,-7.834,-8.126,-7.869,"<.001","<.001","<.001","<.001"
"log","darkSkin",NA,-2.757,0.118,-2.187,NA,"0.295","0.232","0.4"
"log","darkSkin:meanExp",NA,NA,NA,-1.756,NA,NA,NA,"0.222"
"log","darkSkin:meanIAT",NA,NA,NA,8.766,NA,NA,NA,"0.333"
"log","games",0.058,0.057,0.058,0.058,"<.001","<.001","<.001","<.001"
"log","meanExp",0.39,0.691,0.411,0.676,"0.583","0.34","0.554","0.341"
"log","meanExp:darkSkin",NA,-1.8,NA,NA,NA,"0.212",NA,NA
"log","meanIAT",8.795,7.2,8.528,7.408,"0.054","0.122","0.057","0.105"
"log","meanIAT:darkSkin",NA,9.75,NA,NA,NA,"0.287",NA,NA
"log","skinrating",0.046,0.075,NA,NA,"0.07","0.136",NA,NA
"log","weight",0.016,0.016,0.016,0.016,"0.002","0.002","0.002","0.002"
"logit","(Intercept)",-2.186,-0.91,-2.204,-1.226,"0.347","0.69","0.336","0.588"
"logit","darkSkin",NA,-7.417,-0.108,-7.322,NA,"0.139","0.606","0.145"
"logit","darkSkin:meanExp",NA,NA,NA,-2.61,NA,NA,NA,"0.254"
"logit","darkSkin:meanIAT",NA,NA,NA,23.765,NA,NA,NA,"0.154"
"logit","games",-0.689,-0.665,-0.701,-0.691,"<.001","<.001","<.001","<.001"
"logit","meanExp",0.554,1.014,0.57,0.946,"0.604","0.335","0.587","0.363"
"logit","meanExp:darkSkin",NA,-2.712,NA,NA,NA,"0.234",NA,NA
"logit","meanIAT",11.133,7.078,10.803,7.421,"0.128","0.324","0.133","0.297"
"logit","meanIAT:darkSkin",NA,25.544,NA,NA,NA,"0.125",NA,NA
"logit","skinrating",-0.06,-0.142,NA,NA,"0.272","0.181",NA,NA
"logit","weight",0.004,0.004,0.005,0.006,"0.698","0.708","0.645","0.618"
